"","track.name","instrumentalness","Danceability","Acousticness","Country"
"189","سكرتي",0.000302,0.768,0.653,"Egypt"
"190","Bruno",0,0.704,0.368,"Egypt"
"191","شيراتون",0.00111,0.888,0.191,"Egypt"
"192","Toxic",0,0.594,0.835,"Egypt"
"193","Mmmm Mmmm",0,0.898,0.251,"Egypt"
"194","وسط دموع وجراح",0,0.805,0.498,"Egypt"
"195","Habibty",0,0.96,0.235,"Egypt"
"196","La Malama (Bonus Track)",4.14e-06,0.756,0.0796,"Egypt"
"197","Abl Mawsalek",1.1e-06,0.438,0.749,"Egypt"
"198","STR3",0,0.446,0.0552,"Egypt"
"199","تاني",0.000268,0.619,0.817,"Egypt"
"200","Amaken El Sahar",1.68e-06,0.773,0.4,"Egypt"
"201","Esqueça-Me Se For Capaz",0,0.799,0.276,"Brazil"
"202","Vai Lá Em Casa Hoje",0,0.456,0.53,"Brazil"
"203","Todo Mundo Menos Você",0,0.778,0.753,"Brazil"
"204","Presepada",0,0.606,0.368,"Brazil"
"205","Arranhão - Ao Vivo",0,0.486,0.617,"Brazil"
"206","Ameaça",1.69e-06,0.644,0.216,"Brazil"
"207","GALOPA",0,0.763,0.285,"Brazil"
"208","Coração Cachorro",0.0017,0.739,0.439,"Brazil"
"209","Toma Toma Vapo Vapo",3e-04,0.763,0.322,"Brazil"
"210","Ela me Falou Que Quer Rave",0.0194,0.832,0.271,"Brazil"
"211","Revoada No Colchão",0,0.704,0.231,"Brazil"
"212","Ela e Ela",0,0.578,0.279,"Brazil"
"213","A Maior Saudade - Ao Vivo",0,0.292,0.571,"Brazil"
"214","Nota de Repúdio - Ao Vivo",0,0.811,0.381,"Brazil"
"215","Por Supuesto",4.94e-06,0.825,0.665,"Brazil"
"216","Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",0.000583,0.863,0.63,"Brazil"
"217","Parada Louca",0,0.693,0.302,"Brazil"
"218","Putariazinha",0.00149,0.882,0.0606,"Brazil"
"219","Bala Love",0.101,0.628,0.807,"Brazil"
"220","Meu Pedaço de Pecado",1.39e-06,0.668,0.369,"Brazil"
"221","Expectativa x Realidade",0,0.585,0.182,"Brazil"
"222","Você Beberia Ou Não Beberia?",0,0.587,0.562,"Brazil"
"223","Cê Tá Preparada - Live - Goiânia / 2021",0,0.782,0.501,"Brazil"
"224","Sem Sentimento",0,0.747,0.148,"Brazil"
"225","Baby Me Atende",2.36e-05,0.65,0.607,"Brazil"
"226","Motel Afrodite",0,0.671,0.333,"Brazil"
"227","Bloqueado - Ao Vivo",0,0.828,0.153,"Brazil"
"228","Não Sei o Que Lá",0,0.643,0.266,"Brazil"
"229","Quer Voar",0,0.806,0.138,"Brazil"
"230","A QUEDA",0,0.822,0.498,"Brazil"
"231","Bota a Mão no Chão",0.0203,0.712,0.331,"Brazil"
"232","Rolê",0,0.678,0.302,"Brazil"
"233","Localiza Aí BB",0,0.677,0.379,"Brazil"
"234","Ficha Limpa",0,0.774,0.108,"Brazil"
"235","MORENA",0,0.526,0.18,"Brazil"
"236","Não Me Arranha - Ao Vivo",0.000164,0.851,0.409,"Brazil"
"237","Mete a Louca",5.67e-05,0.774,0.197,"Brazil"
"238","Carinha de Neném",3.61e-06,0.638,0.438,"Brazil"
"239","Enemy (with JID) - from the series Arcane League of Legends",0,0.728,0.237,"Brazil"
"240","Senta Danada",0,0.746,0.251,"Brazil"
"241","Chega E Senta - Ao Vivo",0,0.608,0.266,"Brazil"
"242","Set dos Casados",0,0.581,0.325,"Brazil"
"243","Desbloqueado - Ao Vivo",0,0.547,0.783,"Brazil"
"244","Se For Amor",1.84e-05,0.667,0.423,"Brazil"
"245","Troca de Calçada",0,0.659,0.539,"Brazil"
